Wavelength	Transit Depth
(meters)	(percent)
3.601973e-07	8.384105e-03
3.605570e-07	8.384017e-03
3.609170e-07	8.383929e-03
3.612774e-07	8.383841e-03
3.616382e-07	8.383754e-03
3.619993e-07	8.383667e-03
3.623608e-07	8.383580e-03
3.627226e-07	8.383493e-03
3.630848e-07	8.383407e-03
3.634473e-07	8.383321e-03
3.638103e-07	8.383235e-03
3.641735e-07	8.383150e-03
3.645372e-07	8.383064e-03
3.649012e-07	8.382980e-03
3.652655e-07	8.382895e-03
3.656303e-07	8.382810e-03
3.659954e-07	8.382726e-03
3.663608e-07	8.382642e-03
3.667267e-07	8.382559e-03
3.670928e-07	8.382475e-03
3.674594e-07	8.382392e-03
3.678263e-07	8.382310e-03
3.681936e-07	8.382227e-03
3.685613e-07	8.382145e-03
3.689293e-07	8.382063e-03
3.692977e-07	8.381981e-03
3.696664e-07	8.381899e-03
3.700356e-07	8.381818e-03
3.704051e-07	8.381737e-03
3.707749e-07	8.381657e-03
3.711452e-07	8.381576e-03
3.715158e-07	8.381496e-03
3.718867e-07	8.381416e-03
3.722581e-07	8.381336e-03
3.726298e-07	8.381257e-03
3.730019e-07	8.381178e-03
3.733743e-07	8.381099e-03
3.737472e-07	8.381020e-03
3.741204e-07	8.380942e-03
3.744939e-07	8.380864e-03
3.748679e-07	8.380786e-03
3.752422e-07	8.380708e-03
3.756169e-07	8.380631e-03
3.759920e-07	8.380554e-03
3.763674e-07	8.380477e-03
3.767432e-07	8.380400e-03
3.771194e-07	8.380324e-03
3.774960e-07	8.380247e-03
3.778729e-07	8.380172e-03
3.782502e-07	8.380096e-03
3.786279e-07	8.380021e-03
3.790060e-07	8.379945e-03
3.793845e-07	8.379871e-03
3.797633e-07	8.379796e-03
3.801425e-07	8.379721e-03
3.805221e-07	8.379647e-03
3.809020e-07	8.379573e-03
3.812824e-07	8.379500e-03
3.816631e-07	8.379426e-03
3.820442e-07	8.379353e-03
3.824257e-07	8.379280e-03
3.828076e-07	8.379207e-03
3.831898e-07	8.379135e-03
3.835724e-07	8.379063e-03
3.839555e-07	8.378991e-03
3.843389e-07	8.378919e-03
3.847226e-07	8.378847e-03
3.851068e-07	8.378776e-03
3.854913e-07	8.378705e-03
3.858763e-07	8.378634e-03
3.862616e-07	8.378564e-03
3.866473e-07	8.378493e-03
3.870333e-07	8.378423e-03
3.874198e-07	8.378353e-03
3.878067e-07	8.378284e-03
3.881939e-07	8.378214e-03
3.885815e-07	8.378145e-03
3.889695e-07	8.378076e-03
3.893579e-07	8.378008e-03
3.897467e-07	8.377939e-03
3.901359e-07	8.377871e-03
3.905255e-07	8.377803e-03
3.909154e-07	8.377735e-03
3.913058e-07	8.377667e-03
3.916965e-07	8.377600e-03
3.920876e-07	8.377533e-03
3.924791e-07	8.377466e-03
3.928711e-07	8.377399e-03
3.932633e-07	8.377333e-03
3.936560e-07	8.377267e-03
3.940491e-07	8.377201e-03
3.944426e-07	8.377135e-03
3.948365e-07	8.377069e-03
